"Date and Time","Date and Time","Short Course Description","Body","Title"
"August 19, 2009 - 8:00pm","August 19, 2009 - 9:30pm","A six week course on the function, maintenence, and repair of the bicycle.","We will learn and study how a bicycle works, and what we can do to maintain and repair them.


Discuss this course.
 
 ","""Righty Tighty Lefty Loosey"" or Basic Bicycle Mechanics @ Baltimore Bicycle Works"
"June 30, 2009 - 12:49pm","June 30, 2009 - 12:59pm","Becca is testing the time constraints field","And this should be unpublished.","A New Test Course"
"August 23, 2009 - 3:00pm","August 23, 2009 - 6:00pm","A Workshop on Five Element Theory of Chinese Medicine","The purpose of this workshop is to bring to life the five elements, used by acupunturists for thousands of years as a way of understanding and relating to the nature and movement of life. We will learn what the five elements are, how they manifest in nature and in human beings, and keys practices to working with the elements in day-to-day life.
This will be a practical overview for those interested in fundamental principles of Chinese Medicine and philosophy. There will be didactic material and experiential work. Participants will leave with a good beginning knowledge of the material, as well as sources for further study.","Five Element Theory"
"July 23, 2009 - 6:00pm","July 23, 2009 - 9:00pm","What is geography?  How can it be creative?  How can it be critical?  This two-part discussion will examine directions and themes we can explore in a longer class.","The aims of this two-part discussion/workshop/collaborative project are...
* to lay a theoretical grounding in geography for activists, artists, and people of all fields; to create new ways of thinking about place & space in our work, whatever it may be
* to become familiar with interesting projects & avenues of thought that other radical geographers are engaged in
* to become more aware of what's (in)formed our notions of space and place
* to network a community of geographers that are interested in future collaborations & investigations
 
The class will be held in two sessions & will involve some mini-lectures, discussions, and at least one collaborative, creative mapping exercise.
See geography.charting-sustainability.org for detailed info on what will be covered.
 
Topics involved:
What is geography?  How has the study of it evolved? Does globalization make it less relevant, or more relevant than ever?  We'll explain what the major topics in human geography are (economic geography, political geography, etc.), discuss the global, local, and ""glocal"", and think about the state of geographical awareness/education in the US and what can be done to improve it. 
We'll also explore questions of geographic mythmaking and metageography (i.e. how we talk about space, the spacial structures that we use to order the world).  Is there really such a thing as the ""Middle East"", or does it exist only in relation to Europe?  Is it better to call that region ""Southwest Asia""?  Etc.
Cartography and Counter-mapping-- If maps are a technology of power, what can mapmakers do to question or subvert prevailing assumptions?  We'll discuss how the GPS system works, what can be done with GIS databases, and what ""critical GPS / GIS"" might mean.
Creative Geography (art & geography in practice)-- How does geography interact with other disciplines, and what does it mean to practice or perform geography?  We'll take a brief look at what other people are doing, from situationism & improvisational psychogeography to art and performance related to space and place-- smellscapes, emotional cartographies, etc.
Readings:  see geography.charting-sustainability.org for links to stuff we'll be exploring.
 
Please Note:  this class might use a lot of academic jargon, but please don't be put off by it-- we can discuss the terms (or create our own terms we like better).  You don't have to have taken a university course or read a bunch of postmodern theorists to join in-- the class is designed for anyone who's interested in place / space / the world.
 
Discuss this course.
 
 ","Radical Geography"
"December 14, 2009 - 7:30pm","December 14, 2009 - 9:00pm","This group will assist participants to become tobacco-free by equipping them with evidence-based strategies for treating nicotine dependency.  A unique feature of this group will be the dialogue about the role of the tobacco industry in perpetuating tobacco use and addiction of the individual and community level. To Be Tobacco-free is facilitated by a certified Tobacco Treatment Specialist and former smoker","This six-week group will meet collectively once a week for 1.5 hours while treating participants tobacco dependency individually through:

Assessment of participants tobacco use ""profile""
Normalization of the ""conflicted"" feelings regarding tobacco use and cessation
Examine our emotional/behavioral ties to tobacco use, explore conflicting
Overview of pharmacotherapy options 
Development and practice of behavioral coping skills
Establishment of social support networks
Relapse prevention measures
Combating the Tobacco Industry

Be sure to include both your email address and phone number when you sign-up!","To Be Tobacco-Free"
"October 26, 2009 - 6:00pm","October 26, 2009 - 7:30pm","This class will cover simple tax preparation. Can be taylored to the needs of the participants.","Many people could prepare their own tax returns either by hand or with free online software.  This would be a very practical class where we would fill in actual tax forms and look at how to use some common tax software.  I would be glad to advise participants on what forms they need for their particular situation.  We could look at the tax benefits of The American Recovery and Reinvestment Act of 2009.  If we have wifi we can go online to work with actual software.  Although it may be more practical to hold this class in the spring, I am much busier in the spring preparing tax returns so my time is limited. ","Tax Preparation"
"September 30, 2009 - 6:30pm","September 30, 2009 - 7:30pm","Micronations, Seccession, and Disputed Territory","What are the terms by which one recognizes a nation-state? What are the consequences of those terms? And what happens when individuals establish new standards of governance and do it with a formal seal? 
Topics covered include: political situations of countries recognized by some but not all, the tactics of recognition, micronations and abstract nations both as art and political gesture, secessionist movements, and special topics in nation-making (ephemera, currency, legal documents, corporate states). Students will be asked to choose or create a topic to independently research and bring to the group discussion. There is a possibility of a guest lecture.
 ","Fictional States"
"November 26, 2009 - 8:00pm","November 26, 2009 - 9:30pm","An introduction into the methods of Clown based on techniques from Jacques Lecoq.","This course is a way to develop skills to use in all aspects of theatre and public speaking. Some of the skills include engaging with an audience, listening and improvisation.
 
Jacques Lecoq born (December 15, 1921 – January 19, 1999) in Paris, was a French actor, mime and acting instructor.
He is most famous for his methods on physical theatre, movement and mime that he taught at the school he founded in Paris, L'École Internationale de Théâtre Jacques Lecoq from 1956 until his death in 1999.
Jacques Lecoq's work involves finding your own personal clown type. Learning the basic rules of comedy and following Lecoq's three rules of playfulness, togetherness and openness. This class will focus specifically on play.
 
All experience levels are welcome.","Clown"
"December 8, 2009 - 6:00pm","December 8, 2009 - 8:00pm","This course will focus on reading and discussing contemporary poetry published within the last decade, with an equal emphasis on both emerging and more established American writers."," 
Former U.S. Poet Laureate Billy Collins recently made the following statements about American poetry:  ""One of the reasons people don’t read as much poetry anymore is the fault of the poets…It’s not the public’s fault. There’s an awful lot of bad poetry out there. I’d say about 87 percent of the poetry in America isn’t worth reading. Poetry should be transparent. Transparent poems tend to teach themselves.”
 
Billy Collins, I beg to differ! In this course we will plunge into the dynamic, rapidly evolving world of contemporary poetry, using the 2009 anthology American Hybrid: A Norton Anthology of New Poetry (edited by Cole Swensen and David St. John) as our flagship and supplementing our readings therein with selected poems from younger poets. In their excellent introductory essays to the anthology, Swensen and St. John propose a wider definition of contemporary poetry as a hybridization of both the conservative (""well-made, decorous, traditional, formal, and refined"") and the experimental (""spontaneous, immediate, bardic, irrational, translogical, open-ended, and ambiguous""), arguing that the old designations of specific poetic ""camps"" or ""schools"" are no longer relevant. We will examine selections from the anthology as well as other collections and discuss how the concept of hybridization applies to them. We will also consider the intriguing questions that Billy Collins' comments provoke: Should poetry be transparent? What does transparency even mean in relation to poetry, and is its opposite (opacity/density) always thus ""bad"" or off-putting?
 
We will also discuss the exciting developments that the rise of the Internet and small-press publishing have had on contemporary poetry, with emphasis on independent publishers like Fence, Bloof, Wave, Action, Octopus, Sarabande, and Switchback Books in addition to indie chapbook publishers and the growing legitimacy of self-publishing via sites like Etsy.
 
Poets that we might discuss will include but are in no way limited to the following: Eric Baus, Noah Eli Gordon, Brenda Shaughnessy, Michael Earle Craig, Mary Jo Bang, Peter Gizzi, Dara Wier, Dawn Lundy Martin, Amy Gerstler, Sarah Manguso, Joshua Beckman, D.A. Powell, August Kleinzahler, Reginald Shepherd, Sarah Hannah, Evie Shockley, Daphne Gottlieb, Joyelle McSweeney, Johannes Göransson, Oni Buchanan, and Ronaldo V. Wilson.
 
If participants are interested, we could also arrange a Saturday field trip to Poets House in New York City, a poetry library and literary center that will celebrate its grand re-opening in a new location (Battery Park) this fall.","Poetry and Transparency in the 21st Century"
"September 28, 2009 - 8:00pm","September 28, 2009 - 10:00pm","Learn to perform a home energy audit on your home and save money using no-cost-to-low-cost methods."," 
Learn to perform a home energy audit on your home and save money using no-cost-to-low-cost methods.
 
During this hour and a half session you will learn the basics of performing a self-led home energy audit. Participants will learn how to find and solve energy loss problems; as well, as save some money on their next energy bill. We will be able to discuss budget constraints and how to save money with no-cost-to-low-cost methods. Also, we will discuss novel ways to save energy and water at home. Lastly, we will use actual data collected about the Baltimore area to calculate expected savings. The goal of this class is for participants to learn how to perform energy audits at residential locations. Every participant will be given an information packet, so that they can perform their own home energy audit!
This class will also focus on getting ready for the winter months. And how to save energy through the cold season.","Home Energy Audit - On A Budget! UPDATED: Winter Months"
"November 9, 2009 - 8:00pm","November 9, 2009 - 10:00pm","This one time only two hour session will cover small scale passive solar design and implementation.","This one time only two hour session will cover small scale passive solar design and implementation.
Solar Chimneys, hot water heaters, light shelves and so much more!
How about energy saving plants?
Much of this class can be used in either city or rural areas. The ideas presented in this class will equip the attendee with some basic knowledge on how to create passive solar elements at home.
 
We will also explore more exotic passive design such as solar refrigerators and ice makers.h as solar refrigerators and ice makers.","Small Passive Solar Design"
"February 22, 2010 - 7:00pm","February 22, 2010 - 10:00pm","A collaborative workshop for anyone interested in creating live electronic music, multimedia performance, and sound installations. Public extension of a course currently being offered through the Video Department at MICA this Spring.","This course will provide students with an immersive laboratory in which they can experiment with new modes of sound manipulation in live performance. We will explore sound-manipulation skills in real time, using audio technology ranging from contact microphones to turntables to laptop software such as Ableton Live. DJing and audio improvisation will be practiced in dialogue with live video mixing and a variety of other performance media. Broad topics of study will include looping and evolving sonic space, dissonance and synchronicity, form and time. Creative projects will follow the students' individual interest, while also contributing to a common performance event, ""The Vigil"", at the Cohen Plaza at MICA (April 1, 2010). A second module, following this performance, will focus on interactive sound installations that allow an audience to perform.
Students will gain familiarity with DJ mixer techniques, MIDI mapping and controllers in combination with audio software, digital and analog effects processing, basic soldering, and a small amount of music theory. Experience with live electronic improvisation and composition will be informed by a familiarity with the work of a range of artists throughout the history of live remix.
---
LIVE VIDEO OF PERFORMANCES WILL BE STREAMED ONLINE!
http://www.jasonsloan.com/courses/em/live","Live Electronic Music and Multimedia"
"November 7, 2009 - 6:00pm","November 7, 2009 - 8:00pm","Ireland As A Prototype of Colonialism and the Long Resistance","Irish Rebel History
Ireland As A Prototype of Colonialism and the Long Resistance
For almost 900 years, England has occupied Ireland. Throughout that time, the modern prototype of colonialist state was developed, in installing ruling classes and administrators to replacing the indigenous population with settlers. This model became thoroughly used throughout the world. Even so, the Irish never stopped resisting. 
Join history enthusiast James Generic for an evening of Irish History 101.
Subjects to From the Old Anglo-Norman invasion and the Pale of Dublin, to the Protestant Ascendency, the Flight of the Earls, Battle of the Boyne and the Ulster Plantation, the Confederacy of Limerick, The Penal Lawsthe 1798 & 1803 Rebellions, to the Catholic Emancipation movement, the Great Potato Famine, the Irish Republican Brotherhood, to the Easter Rebellion, War of Independence and Civil War, the Troubles, and current situation in the Peace Process
We'll explores characters like St. Bridget, Grace O'Malley, Hugh O'Neill, Wolf Tone, Robert Emmett, James Connolly, Patrick Pearse, Michael Collins, Maud Gonne, Éamon de Valera, Bobby Sands, and Gerry Adams.
James is a longtime Wooden Shoe collective member and majored in history at Temple University. He was recently in Ireland for a 3 week trip.","Irish Rebel History"
"November 3, 2009 - 10:00am","November 3, 2009 - 12:00pm","Tuesday and Friday morning sessions of collaborative art, music, and story activities for children and their parents together.","Parents and their young children are invited to become equal collaborators in self-discovery through art projects, musical improvisation, and storytelling. All participants are encouraged to share physical materials and concepts to be explored in a setting of mutual respect and creative freedom. Providing a home base for progressive homeschooling families and all parents of young children seeking a non-authoritarian learning community in the Baltimore area, ""Art For Free Children"" sessions will take place every Tuesday and Friday morning, from 9 AM to noon.
 ","Art For Free Children"
"January 14, 2012 - 10:00am","January 14, 2012 - 12:00pm","An introduction to babywearing techniques from around the world, otherwise entitled, ""How on earth did I ever get anything done without this?""","This is for anyone with an interest in babywearing--if you love holding your baby but want your hands back, have a sling and don't know how to use it, or know how to use it but want to learn something new, this is for you.  We'll explore the world of ring slings, wraps, pouches, mei tais, and all kinds of variations.  Classes will be mixed presentation and active practice, so please bring any carriers you have, and most importantly, your babies and kids!   We'll introduce the kinds of carriers and safe techniques for using each; and depending on who is interested in what, we can go on to more advanced babywearing techniques, including back carries and nursing in a sling, or we could talk about tricks for babywearing on the cheap--DIY carriers from bedsheets to padded headrests.
 
Babywearing has gained in popularity lately; on any trip to the downtown or Waverly farmer's markets you're sure to see babes riding on a parents' back, front, or hip.  Much of the interest has come from attachment parenting theory--it's a great way to stay close to your kids and give them the attention and love they are looking for when they need you so constantly.  When babies are carried, they cry less, spend more time in a quiet, alert state, and develop a strong sense of security.  Having a baby physically close makes it easy to interact and show them a stimulating environment.  But the appeal is wider than any single parenting theory; aside from pure convenience, babywearing is used for treating reflux, it's great exercise, it's often much better suited to urban living than a stroller, and it's way better than lugging a carseat around.   
 
Your instructor is a Volunteer Babywearing Educator certified by Babywearing International and mom of two slingbabies, who lives in Mt. Vernon and never has to try to take a stroller on the bus. ","Baby carriers & babywearing: cuddling your kids with your hands free"
"October 3, 2009 - 12:00pm","October 3, 2009 - 3:00pm","Let's put the city together!","This is a one-day project I'd like to do at the Free School involving the assembly of a model of Baltimore based off of a 200+ piece jigsaw puzzle. Each piece is one of Baltimore's neighborhoods. In addition to offering a new way of seeing how the city fits together (despite sometimes seeming to be in pieces), the puzzle can also be used to rearrange Baltimore or consider how it could be changed using other various modeling pieces and props.","Baltimore Puzzle Workshop"
"September 29, 2009 - 6:00pm","September 29, 2009 - 7:30pm","This course will provide an overview of the Constitution's Fourth Amendment prohibition against unreasonable searches and seizures and the probable cause requirement for legal searches and seizures, with or without a warrant.  The course will be presented in three sessions: 1) a brief historical account of the Fourth Amendment; 2) an account of the 20th Century landmark Supreme Court decisions; and 3) the Fourth Amendment in the current era of the ""War on Terrorism.""  Emphasis will be placed on the reading of Supreme Court cases.  Fourth Amendment principles will also be examined in light of cases handled by me in my practice (I am an Assistant Public Defender, State of Maryland).  I also would like to experiment with role playing of police encounters and courtroom suppression hearings (hearings to suppress evidence seized in violation of the Fourth Amendment).","","Overview of the Fourth Amendment to the United States Constitution"
"December 31, 2009 - 8:00pm","December 31, 2009 - 10:00pm","Workshop on Anarchism","This is a study group which will be led by participants.  Classes will range over a range of topics from consensus processing and non-authoritarian methods of communication, to historical and philosophical issues, to contemporary challanges.  For further information and to be on a distribution list, email
anarchism-studygroup@redemmas.org","Anarchism Study Group"
"December 27, 2012 - 7:00pm","December 27, 2012 - 8:30pm","students will learn form and pushing hands","* Note to new students: All new students will be interviewd/screened before being allowed to join this class. So please send me an email, and make arrangements with me for your interview; btw this can be done at the class if you come early or some time during/after the class. you will be allowed to watch/particpate in the class that day ! 
The goal is to pass on this art to as many folks as possible who truly want it, and know they have to work/play daily to get it. There are no days off for Taijiquan training & sucess.  
 
We try to reflect in our lives on what we learn from our sifus/teachers/instructors in their classes. This is one of the many points makes the study of Martial Arts so wonderful, and fulfilling . The sharing & comraderie developed along our life's journey of learning is a treasured part of our mutual love for these arts regardless of country of origin.Seeking harmony in our world is not always easy. Still, we find that our chosen way to do this is quite rewarding. Though much effort (and sometimes pain) is needed to get to the essence of our art of Taijiquan. This art compensates us in so many ways; not only personally, but also in the effect of what we share and display with others.
 
 
    Once you are accepted you can start when you show up for class the THE NEXT TIME AROUND/maybe the 1st. time you come. There is no waiting for a set period of time to begin. That's part of the reason why this class is ongoing. So please disregard the confusing 5 week date slots!
    The goal is to pass on this art to as many folks as possible who truly want it, and know they have to work/play to get it. I teach Yang style Taijiquan / Tai Chi Chuan to include :
1. Form = the physical movements that make up the body of this art but , that also teach us about ourselves
2. Tui Shou / PUSHING HANDS = a 2 person sensitivity exercise that teaches us about how to deal with another persons force , and also teaches us how to apply various postures found in the form
3. Qigong = exercises designed more for overall well being as opposed to martial function . However , the truth is that Taijiquan is qigong that has a martial intent . Two types of qigong will be taught , one being Dynamic & the other being Static Qigong (also known as Quiescent Exercise) Dynamic Qigong uses motion / movement to assist in cultivating the Qi / life force Static Qigong uses stillness to cultivate Qi / life force Eight Section Brocade is both easy & safe to learn and practice . I teach this qigong 1st. because it helps prepare the body to practice Taijiquan , while at the same time starts the process of waking up the Qi . this is a dynamic Qigong practice, Zhan Zhuang Qigong is done in stillness with no outward movement . A simple translation of the term is standing pole exercise , you do not move and yet stil receive a fountain of benefit from this . Sounds sought of weird I know lol.
  Yet, this stillness gong (gong = skill ) works faster than the majority of all movement gongs used to cultivate Qi .. This used to be a SECRET training method (zhan zhuang qigong) , and was only shared with the public starting around the 1960's from what I understand . Still, it is not taught/practiced by many Taijiquan teachers/students . 
   My teaching starts with this Qigong of Zhan Zhuang because the 1st. posture of all Taijiquan styles starts with this one idea of stillness . Stillness is the mother of movement, as such if u want to move well , we need to explore stillness more deeply . This is a simple yet complex study that last's a lifetime .
   TAIJIQUAN is a part of our lifestyle ; as such we play/pratice every day, with no days off. Novice/ health oriented students need to invest in at least 5 minutes a day as they work their way up to 30 minutes each day of non stop exercise advanced students/martial art oriented students start with 20- 30 minutes a day as they work their way up to 2 hours a day each day. this is how real gong fu is attained and is a part of ""eating the bitter"" as we say ! Wear loose COMFORTABLE clothing, with flat COMFORTABLE shoes or sneakers . NO flip flops or footwear that is unstable.
Teacher/Pointer : Anthony A. Reid Email : taichibulldog@yahoo.com","Taijiquan"
"September 27, 2009 - 7:00pm","September 27, 2009 - 9:00pm","This course is meant to be an introduction to western music theory.","This course is meant to be an introduction to western music theory.  It will cover topics ranging from the harmonic series and tuning systems, to voice leading and tonal harmony, to modality and post-tonal music.  Essentially, this course will cover everything that time will allow.  There will be an emphasis on composing and playing music in order to better assimilate what is taught.  The class will use the traditional method of teaching music theory but will also be led by the different interests of students in the class.","Introduction to Music Theory"
"October 16, 2009 - 5:00pm","October 16, 2009 - 7:00pm","learning to sew, dye, screen print, embellish on fabric to construct clothing, costume, patches, and whatever comes up together","Clothing is symbol. It can speak literally with words as well as figuratively with design and picture. Many cultures have used garment design to say something about many different issues. Lets figure it out together. We need no authority figure to learn how to do it ourselves, if we have a few people interested, a few people who know basics, the internet, a few books, some free or borrowed materials or maybe some old clothes we can modify, we can make clothing we feel empowered in, costumes we want to say something in or just style with a smile and abandon the little to no wage labor, money hungry death system of commerce. Lets design creatively thriving material with children and teach ourselves how to use the magic of fabric. 
 
This course would help people gain familiarity with the sewing machine, hand sewing, basic screen printing, embroidery, patchwork, clothing construction and embellishment as well as offer insight on why it may be important to beautify the body, and consider the elements of voice in fabric.
 
I know a little about sewing, embroidery, screen printing, dyeing and garment construction. So if anyone who is interested in learning something like this knows a little too, and even if you dont, we can do awesome things and figure it out together. So these are the things I hope to teach as well as learn more about. I would also like to discuss other cultures use of fiber.
 
I also have lots of materials and fabrics are given away all the time on free cycle.
We should collect books on natural dyeing such as beet juice.
we should collect sewing machines, that we own or can borrow.
we should collect materials such as fabric, thread, and needles.
most importantly we should collect our thoughts and intentions.","Beautification and identity/ garment design as symbol"
